192.743,176.13,167.829,157.343,
-1.71296,-1.42153,-1.08096,-20.1973,
-0.00050714,-0.0336461,-0.0481313,1.53749,
-1.71296,-1.5758,-1.36667,-1.37616,-20.1973,
-0.00050714,-0.0261978,-0.0175289,0.0254994,1.53749,
192.743,175.532,166.93,157.343,
-1.71296,-1.75364,-1.52055,-20.1973,
-0.00050714,-0.00977026,-0.0481632,1.53749,
192.743,184.177,175.61,167.045,157.343,
-1.71296,-1.74502,-1.75017,-1.57881,-20.1973,
-0.00050714,0.00508279,-0.0067913,-0.0361294,1.53749,
192.743,175.955,167.568,157.343,
-1.71296,-1.58455,-1.23667,-20.1973,
-0.00050714,-0.0250536,-0.0604214,1.53749,
192.743,183.909,175.074,166.241,157.343,
-1.71296,-1.74004,-1.83633,-2.0109,-20.1973,
-0.00050714,0.00681073,0.0151581,0.024535,1.53749,
192.743,184.005,175.266,166.532,157.343,
-1.71296,-1.57581,-1.43967,-1.70412,-20.1973,
-0.00050714,-0.0232576,-0.000276325,0.0684367,1.53749,
192.743,184.594,176.447,168.305,157.343,
-1.71296,-1.64454,-1.43484,-1.06484,-20.1973,
-0.00050714,-0.016673,-0.0351839,-0.0560399,1.53749,
192.743,183.774,174.805,165.838,157.343,
-1.71296,-1.63621,-1.57347,-1.76231,-20.1973,
-0.00050714,-0.0121904,0.00261594,0.043912,1.53749,
192.743,184.197,175.651,167.106,157.343,
-1.71296,-1.70335,-1.66749,-1.58184,-20.1973,
-0.00050714,-0.00220112,-0.00664984,-0.0138533,1.53749,
192.743,176.412,168.258,157.343,
-1.71296,-1.20663,-0.696094,-20.1973,
-0.00050714,-0.0551706,-0.0683058,1.53749,
185.265,177.827,170.329,163.17,157.485,157.343,
-1.05911,-0.00113766,0.121988,-1.99404,-13.496,-20.1973,
-0.144075,-0.108677,0.105688,0.49902,1.50894,1.53749,
192.743,167.352,157.343,
-1.71296,-1.28248,-20.1973,
-0.00050714,0.00564149,1.53749,
192.743,184.168,175.592,167.017,157.343,
-1.71296,-1.59934,-1.45348,-1.55475,-20.1973,
-0.00050714,-0.0205576,-0.00802958,0.037077,1.53749,
192.743,184.614,176.507,168.433,157.343,
-1.71296,-1.47744,-0.83257,0.141349,-20.1973,
-0.00050714,-0.0557958,-0.101332,-0.137117,1.53749,
192.743,184.459,176.183,167.906,157.343,
-1.71296,-1.49617,-1.03838,-0.615436,-20.1973,
-0.00050714,-0.0462637,-0.0587089,-0.037843,1.53749,
192.743,183.976,175.21,166.446,157.343,
-1.71296,-1.70354,-1.75773,-1.98578,-20.1973,
-0.00050714,0.000456489,0.0140016,0.0401283,1.53749,
192.743,176.113,167.804,157.343,
-1.71296,-1.48838,-1.15045,-20.1973,
-0.00050714,-0.0298995,-0.0522466,1.53749,
192.743,184.145,175.546,166.948,157.343,
-1.71296,-1.66391,-1.59811,-1.62452,-20.1973,
-0.00050714,-0.00878979,-0.00440208,0.012656,1.53749,
192.743,176.115,167.802,157.343,
-1.71296,-1.37074,-1.174,-20.1973,
-0.00050714,-0.028638,-0.0156795,1.53749,
192.743,184.61,176.487,168.357,157.343,
-1.71296,-1.44628,-0.93334,-0.591752,-20.1973,
-0.00050714,-0.0564832,-0.0610885,-0.0143231,1.53749,
192.743,174.913,165.998,157.343,
-1.71296,-1.85736,-1.93461,-20.1973,
-0.00050714,0.0112191,0.00473865,1.53749,
192.743,184.005,175.267,166.529,157.343,
-1.71296,-1.71079,-1.71581,-1.73203,-20.1973,
-0.00050714,8.71015e-05,0.00113913,0.00264896,1.53749,
192.743,183.724,174.705,165.686,157.343,
-1.71296,-1.66001,-1.5463,-1.42578,-20.1973,
-0.00050714,-0.0102358,-0.0139816,-0.0117445,1.53749,
192.743,175.99,167.618,157.343,
-1.71296,-1.63509,-1.37295,-20.1973,
-0.00050714,-0.0178737,-0.0469974,1.53749,
192.743,184.101,175.458,166.816,157.343,
-1.71296,-1.72109,-1.73056,-1.70577,-20.1973,
-0.00050714,0.0017044,-0.000200365,-0.00622144,1.53749,
192.743,185.033,177.355,169.692,157.343,
-1.71296,-1.36971,-0.565503,0.374953,-20.1973,
-0.00050714,-0.0814446,-0.120261,-0.116955,1.53749,
192.743,184.505,176.277,168.042,157.343,
-1.71296,-1.47592,-1.0097,-0.668618,-20.1973,
-0.00050714,-0.0498525,-0.0561684,-0.0194547,1.53749,
192.743,184.234,175.726,167.216,157.343,
-1.71296,-1.60088,-1.40754,-1.33429,-20.1973,
-0.00050714,-0.0218894,-0.019608,0.00633697,1.53749,
192.743,175.47,166.832,157.343,
-1.71296,-1.46584,-1.5033,-20.1973,
-0.00050714,-0.0106187,0.0236637,1.53749,
192.743,184.335,175.926,167.521,157.343,
-1.71296,-1.77085,-1.79451,-1.54615,-20.1973,
-0.00050714,0.00956374,-0.00865031,-0.0551493,1.53749,
192.743,176.769,168.794,157.343,
-1.71296,-0.951856,-0.339757,-20.1973,
-0.00050714,-0.0761963,-0.0723851,1.53749,
192.743,183.667,174.592,165.519,157.343,
-1.71296,-1.72932,-1.82142,-2.03996,-20.1973,
-0.00050714,0.00504379,0.0161837,0.0329126,1.53749,
192.743,184.581,176.429,168.28,157.343,
-1.71296,-1.53084,-1.10222,-0.591048,-20.1973,
-0.00050714,-0.0407644,-0.0609351,-0.0610192,1.53749,
192.743,176.274,168.049,157.343,
-1.71296,-1.37473,-0.931535,-20.1973,
-0.00050714,-0.042008,-0.066017,1.53749,
192.743,175.729,167.222,157.343,
-1.71296,-1.71426,-1.6843,-20.1973,
-0.00050714,-0.00132788,-0.00621243,1.53749,
192.743,184.321,175.902,167.484,157.343,
-1.71296,-1.58934,-1.32224,-1.05439,-20.1973,
-0.00050714,-0.0260215,-0.0345857,-0.0261997,1.53749,
184.668,176.591,168.547,161.117,157.85,157.343,
-1.92035,-2.05876,-1.39152,-4.33122,-11.8811,-20.1973,
0.0366315,-0.0175868,-0.163162,0.842293,1.40918,1.53749,
192.743,175.505,166.885,157.343,
-1.71296,-1.76709,-1.7519,-20.1973,
-0.00050714,0.002177,-0.00685501,1.53749,
192.743,175.365,166.679,157.343,
-1.71296,-1.36483,-1.60981,-20.1973,
-0.00050714,-0.00510242,0.0701087,1.53749,
192.743,184.005,175.267,166.529,157.343,
-1.71296,-1.65427,-1.58642,-1.65839,-20.1973,
-0.00050714,-0.0100821,-0.00260637,0.02192,1.53749,
192.743,175.327,166.619,157.343,
-1.71296,-1.50246,-1.49187,-20.1973,
-0.00050714,-0.0111141,0.0118214,1.53749,
192.743,183.622,174.5,165.387,157.343,
-1.71296,-1.57527,-1.46743,-1.83318,-20.1973,
-0.00050714,-0.0215685,0.00603472,0.0823025,1.53749,
184.808,176.902,168.985,161.322,157.343,
-1.31816,-0.505782,0.180825,-3.44045,-20.1973,
-0.087481,-0.10588,-0.0557036,0.871646,1.53749,
192.743,176.552,168.465,157.343,
-1.71296,-1.28046,-0.829072,-20.1973,
-0.00050714,-0.0483502,-0.0620299,1.53749,
192.743,184.455,176.168,167.885,157.343,
-1.71296,-1.66289,-1.49754,-1.18162,-20.1973,
-0.00050714,-0.0122848,-0.0283262,-0.0486313,1.53749,
192.743,183.708,174.673,165.646,157.343,
-1.71296,-1.65913,-1.67973,-2.03394,-20.1973,
-0.00050714,-0.00662276,0.0159651,0.0672565,1.53749,
192.743,183.765,174.79,165.82,157.343,
-1.71296,-1.7866,-2.01929,-2.41494,-20.1973,
-0.00050714,0.0169871,0.0349261,0.0533098,1.53749,
192.743,183.867,174.99,166.116,157.343,
-1.71296,-1.69962,-1.73728,-1.92891,-20.1973,
-0.00050714,-0.000563902,0.0109827,0.0341326,1.53749,
192.743,176.063,167.728,157.343,
-1.71296,-1.70489,-1.42418,-20.1973,
-0.00050714,-0.0152233,-0.0557993,1.53749,
192.743,175.599,167.026,157.343,
-1.71296,-1.51726,-1.48741,-20.1973,
-0.00050714,-0.0115245,0.0072582,1.53749,
192.743,184.249,175.755,167.263,157.343,
-1.71296,-1.74772,-1.75216,-1.56362,-20.1973,
-0.00050714,0.00550013,-0.00764587,-0.0399451,1.53749,
192.743,175.476,166.842,157.343,
-1.71296,-1.55696,-1.63189,-20.1973,
-0.00050714,-0.00400354,0.0247519,1.53749,
192.743,175.966,167.581,157.343,
-1.71296,-1.24568,-0.870772,-20.1973,
-0.00050714,-0.0444407,-0.0422447,1.53749,
192.743,184.238,175.732,167.231,157.343,
-1.71296,-1.82757,-1.93338,-1.66048,-20.1973,
-0.00050714,0.0202056,-0.00257753,-0.0688565,1.53749,
184.916,177.148,169.313,161.615,158.072,157.343,
-1.03257,0.196484,0.776733,-3.20051,-11.3001,-20.1973,
-0.14735,-0.140963,0.0186553,0.875881,1.38216,1.53749,
192.743,184.099,175.455,166.812,157.343,
-1.71296,-1.73318,-1.77141,-1.78084,-20.1973,
-0.00050714,0.00428379,0.0036595,-0.00238001,1.53749,
192.743,184.107,175.472,166.836,157.343,
-1.71296,-1.7837,-1.88695,-1.8461,-20.1973,
-0.00050714,0.0134824,0.0070213,-0.0198906,1.53749,
192.743,184.005,175.267,166.529,157.343,
-1.71296,-1.64376,-1.56842,-1.67201,-20.1973,
-0.00050714,-0.0118002,-0.00191323,0.0291538,1.53749,
192.743,184.518,176.3,168.079,157.343,
-1.71296,-1.5094,-1.09211,-0.738308,-20.1973,
-0.00050714,-0.0433563,-0.0524911,-0.0279114,1.53749,
192.743,176.046,167.702,157.343,
-1.71296,-1.30999,-0.931409,-20.1973,
-0.00050714,-0.0414316,-0.0476791,1.53749,
192.743,184.27,175.813,167.365,157.343,
-1.71296,-1.47302,-0.899708,-0.199361,-20.1973,
-0.00050714,-0.0520556,-0.0792556,-0.0821071,1.53749,
192.743,183.781,174.819,165.863,157.343,
-1.71296,-1.75852,-1.93394,-2.28361,-20.1973,
-0.00050714,0.0115014,0.0284712,0.0504024,1.53749,
192.743,176.005,167.64,157.343,
-1.71296,-1.77533,-1.53996,-20.1973,
-0.00050714,-0.00902037,-0.051482,1.53749,
192.743,184.062,175.38,166.699,157.343,
-1.71296,-1.72328,-1.74145,-1.73503,-20.1973,
-0.00050714,0.00226342,0.00129892,-0.00340064,1.53749,
192.743,184.371,175.999,167.634,157.343,
-1.71296,-1.70983,-1.61357,-1.28118,-20.1973,
-0.00050714,-0.00308729,-0.0227573,-0.0595173,1.53749,
192.743,175.045,166.197,157.343,
-1.71296,-1.80511,-1.96761,-20.1973,
-0.00050714,0.0129589,0.0242787,1.53749,
192.743,184.521,176.304,168.086,157.343,
-1.71296,-1.53964,-1.17846,-0.854826,-20.1973,
-0.00050714,-0.0370718,-0.046214,-0.0279337,1.53749,
192.743,184.786,176.837,168.932,157.343,
-1.71296,-1.64649,-1.29082,-0.401012,-20.1973,
-0.00050714,-0.0213664,-0.0732332,-0.156108,1.53749,
192.743,175.281,166.55,157.343,
-1.71296,-1.46339,-1.47413,-20.1973,
-0.00050714,-0.0119875,0.0184677,1.53749,
192.743,175.19,166.417,157.343,
-1.71296,-1.53708,-1.74471,-20.1973,
-0.00050714,0.00177889,0.0508706,1.53749,
192.743,184.541,176.343,168.151,157.343,
-1.71296,-1.61934,-1.35551,-0.93461,-20.1973,
-0.00050714,-0.0220556,-0.0420165,-0.06039,1.53749,
192.743,184.62,176.503,168.4,157.343,
-1.71296,-1.5952,-1.24934,-0.67422,-20.1973,
-0.00050714,-0.028511,-0.0566892,-0.0850415,1.53749,
192.743,175.558,166.965,157.343,
-1.71296,-1.64124,-1.621,-20.1973,
-0.00050714,-0.00458705,0.000689983,1.53749,
192.743,184.077,175.41,166.743,157.343,
-1.71296,-1.74305,-1.76986,-1.68497,-20.1973,
-0.00050714,0.00536745,-0.00126617,-0.020408,1.53749,
192.743,184.206,175.672,167.133,157.343,
-1.71296,-1.49666,-1.15096,-1.11755,-20.1973,
-0.00050714,-0.0415304,-0.0308218,0.0316188,1.53749,
185.071,177.416,169.782,161.82,158.075,157.343,
-1.49502,-0.923505,-0.110084,-3.34561,-11.3172,-20.1973,
-0.0538729,-0.0927551,-0.117154,0.823276,1.37483,1.53749,
192.743,175.544,166.945,157.343,
-1.71296,-1.61666,-1.49105,-20.1973,
-0.00050714,-0.0112999,-0.0180679,1.53749,
192.743,184.682,176.634,168.614,157.343,
-1.71296,-1.55348,-1.07213,-0.25268,-20.1973,
-0.00050714,-0.0394073,-0.0804241,-0.123558,1.53749,
192.743,184.161,175.578,167.002,157.343,
-1.71296,-1.7275,-1.66326,-1.34547,-20.1973,
-0.00050714,0.00050045,-0.0188658,-0.0586058,1.53749,
192.743,175.726,167.219,157.343,
-1.71296,-1.66249,-1.56083,-20.1973,
-0.00050714,-0.00777735,-0.016708,1.53749,
192.743,184.156,175.569,166.981,157.343,
-1.71296,-1.79905,-1.92654,-1.8862,-20.1973,
-0.00050714,0.016496,0.00913474,-0.0225909,1.53749,
192.743,175.785,167.306,157.343,
-1.71296,-1.55915,-1.43436,-20.1973,
-0.00050714,-0.0144334,-0.0142003,1.53749,
192.743,184.496,176.256,168.007,157.343,
-1.71296,-1.44493,-0.971379,-0.775129,-20.1973,
-0.00050714,-0.0547065,-0.050356,0.0125444,1.53749,
