89.8358,88.7675,89.0933,90.1988,92.2942,
-94.7142,-102.888,-111.134,-119.316,-135.689,
1.33124,1.53799,1.67012,1.72763,1.61878,
89.2639,88.7713,89.7627,91.2604,92.2942,
-96.2038,-106.11,-115.991,-125.812,-135.689,
1.41346,1.61234,1.71286,1.715,1.61878,
89.214,89.8037,90.4814,91.1722,91.8015,92.2942,
-94.1625,-102.47,-110.771,-119.071,-127.376,-135.689,
1.63336,1.64846,1.65455,1.65163,1.63971,1.61878,
88.1481,88.7575,89.6874,90.727,91.6662,92.2942,
-94.0333,-102.385,-110.708,-119.017,-127.339,-135.689,
1.61599,1.66706,1.69287,1.69343,1.66873,1.61878,
89.3786,88.9659,92.2942,
-94.7384,-102.952,-135.689,
1.44666,1.58581,1.61878,
89.9267,89.667,90.5719,92.2942,
-94.0472,-110.737,-119.052,-135.689,
1.42089,1.65509,1.69467,1.61878,
89.3422,89.724,90.3483,91.0768,91.7715,92.2942,
-95.0794,-103.215,-111.335,-119.447,-127.562,-135.689,
1.59711,1.63544,1.65678,1.66111,1.64844,1.61878,
89.6532,89.4338,89.9098,90.7589,91.6604,92.2942,
-94.8936,-103.074,-111.247,-119.39,-127.527,-135.689,
1.48839,1.59302,1.65838,1.68446,1.67126,1.61878,
89.3627,89.7746,90.3987,91.1099,92.2942,
-95.3798,-103.453,-111.513,-119.566,-135.689,
1.60345,1.6375,1.65606,1.65913,1.61878,
88.6349,88.6154,89.354,92.2942,
-94.297,-102.615,-110.903,-135.689,
1.5075,1.62173,1.68997,1.61878,
89.3298,89.2082,89.3581,90.3254,91.5047,92.2942,
-101.517,-103.149,-111.325,-119.449,-127.547,-135.689,
1.47801,1.51434,1.65156,1.71471,1.70378,1.61878,
90.0552,89.3922,89.714,90.5908,91.5934,92.2942,
-93.4745,-101.92,-110.39,-118.822,-127.241,-135.689,
1.41738,1.55906,1.65004,1.69032,1.6799,1.61878,
89.2442,89.5221,90.1511,92.2942,
-93.1917,-101.71,-110.21,-135.689,
1.57554,1.62766,1.65804,1.61878,
90.5505,88.5981,88.6393,89.8386,91.3394,92.2942,
-95.0079,-102.992,-111.229,-119.388,-127.5,-135.689,
1.1739,1.4707,1.66358,1.75256,1.73762,1.61878,
89.623,89.747,90.2727,91.0032,91.7424,92.2942,
-94.8689,-103.052,-111.219,-119.372,-127.523,-135.689,
1.55337,1.61451,1.65162,1.6647,1.65376,1.61878,
89.9144,89.3913,89.7702,90.6479,91.6227,92.2942,
-95.6619,-103.678,-111.707,-119.698,-127.679,-135.689,
1.43279,1.57014,1.65742,1.69461,1.68173,1.61878,
90.9497,89.0874,89.0412,90.067,91.4031,92.2942,
-92.8966,-101.319,-109.958,-118.544,-127.089,-135.689,
1.21768,1.47399,1.64225,1.72247,1.71464,1.61878,
90.9665,89.278,89.2521,90.2077,91.4513,92.2942,
-93.1934,-101.582,-110.15,-118.671,-127.157,-135.689,
1.24741,1.48345,1.6386,1.71287,1.70627,1.61878,
90.4009,89.1319,91.4887,92.2942,
-94.0146,-102.299,-127.334,-135.689,
1.30864,1.51679,1.70287,1.61878,
90.2952,88.733,88.8831,90.0172,91.398,92.2942,
-93.6069,-101.94,-110.43,-118.853,-127.24,-135.689,
1.25505,1.50145,1.66103,1.73377,1.71969,1.61878,
90.5274,89.2078,89.3314,90.2932,92.2942,
-92.362,-100.972,-109.69,-118.361,-135.689,
1.31225,1.5135,1.64478,1.70609,1.61878,
88.1418,89.0503,90.2906,91.4947,92.2942,
-96.4126,-106.246,-116.044,-125.847,-135.689,
1.63355,1.68607,1.70111,1.67868,1.61878,
89.6593,90.2465,90.9947,91.7339,92.2942,
-101.259,-109.872,-118.473,-127.074,-135.689,
1.62293,1.6515,1.66033,1.64943,1.61878,
89.5789,90.3015,91.0608,92.2942,
-100.57,-109.347,-118.12,-135.689,
1.64707,1.65691,1.65547,1.61878,
89.2112,89.1841,90.168,91.4429,92.2942,
-102.585,-110.906,-119.175,-127.406,-135.689,
1.47787,1.64279,1.72125,1.71325,1.61878,
89.5892,89.5503,89.9431,90.7601,92.2942,
-99.9668,-103.226,-111.362,-119.469,-135.689,
1.5377,1.57885,1.65217,1.68327,1.61878,
90.2322,89.2426,89.4831,90.4248,92.2942,
-94.0814,-102.382,-110.744,-119.06,-135.689,
1.35729,1.53641,1.65212,1.70442,1.61878,
88.8386,88.8597,89.5523,90.5789,91.6046,92.2942,
-93.2042,-101.735,-110.24,-118.712,-127.184,-135.689,
1.52074,1.61924,1.67829,1.6979,1.67806,1.61878,
89.1963,89.2531,89.8681,90.7639,92.2942,
-93.9567,-102.33,-110.683,-119.01,-135.689,
1.53319,1.61645,1.66664,1.68375,1.61878,
89.4306,89.4578,90.0174,90.8492,92.2942,
-95.1117,-103.251,-111.373,-119.472,-135.689,
1.53076,1.61217,1.66168,1.67929,1.61878,
89.095,88.9446,89.5611,90.5715,92.2942,
-95.0847,-103.238,-111.372,-119.468,-135.689,
1.49012,1.60699,1.6783,1.70403,1.61878,
89.2811,89.2048,89.788,90.7098,91.6514,92.2942,
-95.5463,-103.603,-111.642,-119.65,-127.655,-135.689,
1.50714,1.60889,1.67093,1.69326,1.67587,1.61878,
89.999,88.914,89.1959,90.2499,91.4803,92.2942,
-93.5894,-101.984,-110.452,-118.864,-127.253,-135.689,
1.33788,1.5349,1.6615,1.71768,1.70344,1.61878,
89.4173,89.728,90.3243,91.0528,92.2942,
-94.542,-102.787,-111.016,-119.235,-135.689,
1.58494,1.6289,1.65426,1.66103,1.61878,
89.2042,89.5292,90.1807,90.9785,91.743,92.2942,
-95.7371,-103.746,-111.736,-119.712,-127.692,-135.689,
1.58345,1.63551,1.66508,1.67214,1.65671,1.61878,
88.5499,88.9953,89.809,90.774,91.6745,92.2942,
-93.4588,-101.928,-110.37,-118.797,-127.231,-135.689,
1.59306,1.64938,1.68011,1.68526,1.66481,1.61878,
89.9537,89.4573,89.8296,90.6837,91.6335,92.2942,
-95.4716,-103.526,-111.591,-119.622,-127.642,-135.689,
1.43943,1.57107,1.65482,1.69069,1.67868,1.61878,
89.9803,88.8284,89.1085,90.1962,91.4656,92.2942,
-94.4209,-102.643,-110.95,-119.195,-127.416,-135.689,
1.32002,1.53062,1.6658,1.72555,1.70988,1.61878,
89.3652,89.0516,88.7324,89.8027,91.3056,92.2942,
-99.8676,-101.559,-110.141,-118.675,-127.147,-135.689,
1.35872,1.41557,1.63311,1.73949,1.73471,1.61878,
89.5733,89.5459,89.8728,90.693,91.6265,92.2942,
-100.084,-101.785,-110.285,-118.752,-127.209,-135.689,
1.5438,1.56526,1.64575,1.6815,1.67251,1.61878,
90.6425,88.7653,88.7952,89.9355,91.3711,92.2942,
-95.0553,-103.041,-111.26,-119.41,-127.515,-135.689,
1.1896,1.47369,1.65865,1.74448,1.73119,1.61878,
89.8794,89.4619,89.8575,90.7027,91.6354,92.2942,
-94.0439,-102.387,-110.735,-119.051,-127.357,-135.689,
1.45764,1.57671,1.65236,1.68458,1.67339,1.61878,
90.186,89.2415,89.4979,90.4374,92.2942,
-93.8341,-102.188,-110.598,-118.962,-135.689,
1.36611,1.54002,1.65225,1.70278,1.61878,
89.1865,90.7809,92.2942,
-95.8892,-115.786,-135.689,
1.62692,1.66166,1.61878,
89.7225,89.4799,89.9317,90.7613,91.6537,92.2942,
-93.1508,-101.678,-110.199,-118.693,-127.18,-135.689,
1.48931,1.58923,1.65214,1.67803,1.66691,1.61878,
89.6608,89.7936,90.3387,91.0512,91.7601,92.2942,
-100.052,-103.298,-111.402,-119.493,-127.585,-135.689,
1.60218,1.62059,1.65182,1.66192,1.65091,1.61878,
89.9007,88.4045,88.6574,89.8996,91.3651,92.2942,
-93.9632,-102.241,-110.663,-119.004,-127.31,-135.689,
1.25721,1.51156,1.67489,1.74721,1.7285,1.61878,
89.6241,89.236,89.6971,90.6184,92.2942,
-94.644,-102.873,-111.101,-119.292,-135.689,
1.45642,1.58307,1.66264,1.69511,1.61878,
88.616,88.3122,89.0247,90.2546,91.5087,92.2942,
-95.8221,-103.838,-111.834,-119.769,-127.7,-135.689,
1.44892,1.6066,1.70243,1.7364,1.70852,1.61878,
88.805,89.5547,90.3475,91.1143,92.2942,
-93.8481,-102.213,-110.573,-118.936,-135.689,
1.65487,1.66413,1.66516,1.65794,1.61878,
89.6965,89.4945,89.9598,90.7852,91.6651,92.2942,
-93.9619,-102.328,-110.686,-119.016,-127.342,-135.689,
1.49458,1.59264,1.65409,1.67893,1.66716,1.61878,
89.4176,89.4221,90.3247,91.4918,92.2942,
-101.762,-110.281,-118.757,-127.203,-135.689,
1.49378,1.63648,1.70488,1.69898,1.61878,
90.0826,89.43,89.7476,90.6121,91.6013,92.2942,
-93.774,-102.16,-110.569,-118.942,-127.301,-135.689,
1.41868,1.55921,1.64949,1.68951,1.67927,1.61878,
89.6042,88.9279,89.3581,92.2942,
-94.7757,-102.968,-111.183,-135.689,
1.40085,1.56589,1.67021,1.61878,
90.5169,89.0768,92.2942,
-94.381,-102.57,-135.689,
1.27614,1.504,1.61878,
89.3977,89.5345,90.1152,90.9166,91.717,92.2942,
-95.0063,-103.165,-111.305,-119.427,-127.549,-135.689,
1.55124,1.61933,1.66013,1.67364,1.65985,1.61878,
89.2692,89.0468,89.6129,90.5915,92.2942,
-94.9078,-103.093,-111.264,-119.398,-135.689,
1.48023,1.59942,1.67287,1.70058,1.61878,
90.047,89.0895,89.3805,90.3748,91.527,92.2942,
-95.0461,-103.159,-111.329,-119.448,-127.547,-135.689,
1.35448,1.54099,1.66067,1.71353,1.69956,1.61878,
90.6392,89.1388,89.2125,90.2046,92.2942,
-92.3402,-100.932,-109.663,-118.344,-135.689,
1.28192,1.50123,1.64457,1.71194,1.61878,
89.2329,89.6344,90.5535,91.5774,92.2942,
-100.353,-109.213,-118.036,-126.848,-135.689,
1.57129,1.65311,1.6883,1.67685,1.61878,
89.1742,89.3274,89.9596,92.2942,
-93.9282,-102.305,-110.661,-135.689,
1.55079,1.62254,1.66522,1.61878,
90.5562,89.1918,89.3082,90.2825,91.4862,92.2942,
-94.2622,-102.484,-110.826,-119.118,-127.381,-135.689,
1.29202,1.5081,1.64882,1.71417,1.70416,1.61878,
89.6839,89.5545,90.0349,90.8404,91.6878,92.2942,
-95.0318,-103.185,-111.326,-119.443,-127.556,-135.689,
1.50591,1.59813,1.65552,1.6781,1.66585,1.61878,
88.8614,89.4239,90.4576,91.5512,92.2942,
-99.9946,-108.943,-117.852,-126.753,-135.689,
1.59187,1.66761,1.69735,1.68107,1.61878,
90.0179,89.0905,89.3887,90.3781,92.2942,
-93.8387,-102.196,-110.606,-118.966,-135.689,
1.36608,1.54386,1.65802,1.70856,1.61878,
89.3777,88.6455,89.1186,90.2483,91.4882,92.2942,
-93.6215,-102.046,-110.496,-118.887,-127.263,-135.689,
1.3912,1.56621,1.67647,1.72198,1.70275,1.61878,
89.5754,89.2694,89.7528,90.6601,92.2942,
-94.8274,-103.022,-111.211,-119.365,-135.689,
1.47053,1.58902,1.66309,1.69274,1.61878,
90.2303,89.5234,92.2942,
-92.6246,-101.235,-135.689,
1.41596,1.55371,1.61878,
88.2997,88.1434,88.9446,90.2211,91.4965,92.2942,
-94.4443,-102.742,-111.008,-119.216,-127.424,-135.689,
1.47496,1.61933,1.70589,1.73465,1.70561,1.61878,
91.0014,88.3653,88.2028,89.5081,91.2206,92.2942,
-94.8495,-102.713,-111.031,-119.264,-127.426,-135.689,
1.0529,1.42047,1.66085,1.77402,1.76,1.61878,
89.5326,89.2472,89.7402,90.6512,91.6218,92.2942,
-93.791,-102.193,-110.589,-118.95,-127.306,-135.689,
1.47629,1.59027,1.66151,1.69,1.67576,1.61878,
